time,alpha_a_fr,alpha_b_fr,alpha_c_fr,alpha_a_fl,alpha_b_fl,alpha_c_fl
1741027512.8025098,-0.011734283529222012,0.005867141764611006,0.005867141764611006,-0.34482309222221375,-0.3624245226383209,-0.3624245226383209
1741027512.813402,0.032330699265003204,-0.016165349632501602,-0.016165349632501602,-0.37949344515800476,-0.33099740743637085,-0.33099740743637085
1741027512.824476,0.07592654228210449,-0.037963271141052246,-0.037963271141052246,-0.40310293436050415,-0.2892131209373474,-0.2892131209373474
1741027512.834747,0.11637479811906815,-0.05818739905953407,-0.05818739905953407,-0.4247720241546631,-0.2502098083496094,-0.2502098083496094
1741027512.8445024,0.15375123918056488,-0.07687561959028244,-0.07687561959028244,-0.4444698095321655,-0.2138429582118988,-0.2138429582118988
1741027512.8543024,0.1887238472700119,-0.09436192363500595,-0.09436192363500595,-0.46250051259994507,-0.1794147491455078,-0.1794147491455078
1741027512.864578,0.22752442955970764,-0.11376221477985382,-0.11376221477985382,-0.4818921685218811,-0.14060550928115845,-0.14060550928115845
1741027512.8740966,0.2604518234729767,-0.13022591173648834,-0.13022591173648834,-0.49768179655075073,-0.10700404644012451,-0.10700404644012451
1741027512.8840215,0.29342299699783325,-0.14671149849891663,-0.14671149849891663,-0.5126858353614807,-0.07255136221647263,-0.07255136221647263
1741027512.8934884,0.32328009605407715,-0.16164004802703857,-0.16164004802703857,-0.5253654718399048,-0.040445297956466675,-0.040445297956466675
1741027512.903847,0.35346031188964844,-0.17673015594482422,-0.17673015594482422,-0.5370215177536011,-0.006831055972725153,-0.006831055972725153
1741027512.9143355,0.38227903842926025,-0.19113951921463013,-0.19113951921463013,-0.5466751456260681,0.026743443682789803,0.026743443682789803
1741027512.9238636,0.4060138463973999,-0.20300692319869995,-0.20300692319869995,-0.5531208515167236,0.05589992552995682,0.05589992552995682
1741027512.9336069,0.42787158489227295,-0.21393579244613647,-0.21393579244613647,-0.5573408007621765,0.08446655422449112,0.08446655422449112
1741027512.943346,0.4472106993198395,-0.22360534965991974,-0.22360534965991974,-0.5590541958808899,0.11176186800003052,0.11176186800003052
1741027512.9537463,0.46467214822769165,-0.23233607411384583,-0.23233607411384583,-0.5580401420593262,0.1389681100845337,0.1389681100845337
1741027512.9642293,0.4797305762767792,-0.2398652881383896,-0.2398652881383896,-0.5537860989570618,0.16580979526042938,0.16580979526042938
1741027512.9737818,0.4903445243835449,-0.24517226219177246,-0.24517226219177246,-0.5471326112747192,0.18838422000408173,0.18838422000408173
1741027512.983517,0.49833589792251587,-0.24916794896125793,-0.24916794896125793,-0.5375068783760071,0.20999698340892792,0.20999698340892792
1741027512.9929943,0.5033195614814758,-0.2516597807407379,-0.2516597807407379,-0.5253342390060425,0.22964508831501007,0.22964508831501007
1741027513.0032055,0.5055623054504395,-0.2527811527252197,-0.2527811527252197,-0.5092190504074097,0.2491244077682495,0.2491244077682495
